Date,Price - Close,Price - High,Price - Low,Price to Earnings Ratio,Enterprise Value to Sales
10/16/2009,1087.68,1094.67,1081.53,14.69576851,1.492680738
10/19/2009,1097.91,1100.17,1086.48,14.78749558,1.505790136
10/20/2009,1091.06,1098.64,1086.16,14.66808727,1.497675547
10/21/2009,1081.4,1101.36,1080.77,14.49421759,1.488804792
10/22/2009,1092.91,1095.21,1074.31,14.58391659,1.496222217
10/23/2009,1079.6,1095.83,1075.49,14.33823116,1.485658821
10/26/2009,1066.95,1091.75,1065.23,14.13157315,1.474692964
10/27/2009,1063.41,1072.48,1060.62,14.07504918,1.470569411
10/28/2009,1042.63,1063.26,1042.19,13.80697641,1.447656081
10/29/2009,1066.11,1066.83,1043.69,14.06398426,1.467713251
10/30/2009,1036.195,1065.41,1033.38,13.6786577,1.443270886
11/2/2009,1042.88,1052.18,1029.38,13.71031068,1.449440142
11/3/2009,1045.41,1046.36,1033.94,13.71927107,1.447914852
11/4/2009,1046.5,1061,1045.15,13.71043675,1.451790631
11/5/2009,1066.63,1066.65,1047.3,13.95533608,1.472953967
11/6/2009,1069.3,1071.48,1059.32,13.95438495,1.481623739
11/9/2009,1093.08,1093.19,1072.31,14.23798602,1.50391944
11/10/2009,1093.01,1096.42,1087.4,14.24621839,1.504598466
11/11/2009,1098.51,1105.37,1093.81,14.30822521,1.510124188
11/12/2009,1087.24,1107.97,1084.9,14.16361132,1.498989531
11/13/2009,1093.48,1097.79,1085.33,14.22871804,1.493897728
11/16/2009,1109.3,1113.69,1094.13,14.38548101,1.510059578
11/17/2009,1110.32,1110.52,1102.19,14.40952388,1.511919298
11/18/2009,1109.8,1111.1,1102.7,14.39117649,1.509642393
11/19/2009,1094.9,1106.44,1088.4,14.20261806,1.494741897
11/20/2009,1091.38,1094.66,1086.81,14.15167637,1.492356736
11/23/2009,1106.24,1112.38,1094.86,14.30776535,1.507636827
11/24/2009,1105.65,1107.56,1097.63,14.27844559,1.50707819
11/25/2009,1110.63,1111.18,1104.75,14.32494784,1.512688338
11/27/2009,1091.49,1105.47,1083.74,14.06443397,1.493401639
11/30/2009,1095.63,1097.24,1086.25,14.09955079,1.493795041
12/1/2009,1108.86,1112.28,1098.89,14.2425035,1.510705845
12/2/2009,1109.24,1115.58,1105.29,14.23494774,1.513778642
12/3/2009,1099.92,1117.28,1098.74,14.1165951,1.506416641
12/4/2009,1105.98,1119.13,1096.52,14.18037521,1.510219903
12/7/2009,1103.25,1110.72,1100.83,14.10119035,1.50872779
12/8/2009,1091.94,1103.04,1088.61,13.95141787,1.491958161
12/9/2009,1095.95,1097.04,1085.89,13.99304772,1.496457316
12/10/2009,1102.35,1106.25,1098.69,14.05519521,1.502876561
12/11/2009,1106.41,1108.5,1101.34,14.07848984,1.506088643
12/14/2009,1114.11,1114.76,1107.84,14.1283831,1.512182718
12/15/2009,1107.93,1114.11,1105.35,14.02449259,1.505560351
12/16/2009,1109.18,1116.21,1107.96,14.01926096,1.504772615
12/17/2009,1096.08,1106.36,1095.88,13.83133108,1.49096358
12/18/2009,1102.47,1103.74,1093.88,13.9036575,1.496273498
12/21/2009,1114.05,1117.68,1105.31,13.99651894,1.497741125
12/22/2009,1118.02,1120.27,1114.51,14.04815421,1.501577008
12/23/2009,1120.59,1121.58,1116,14.06189867,1.504134498
12/24/2009,1126.48,1126.48,1121.08,14.12590618,1.510082628
12/28/2009,1127.78,1130.38,1123.51,14.10195227,1.512230762
12/29/2009,1126.2,1130.38,1126.08,14.07543693,1.510960615
12/30/2009,1126.42,1126.42,1121.94,14.06778178,1.510850801
12/31/2009,1115.1,1127.64,1114.81,13.93063299,1.495075174
1/4/2010,1132.99,1133.87,1116.56,14.11891165,1.511543161
1/5/2010,1136.52,1136.63,1129.66,14.15650479,1.511763777
1/6/2010,1137.14,1139.19,1133.95,14.12472899,1.509824121
1/7/2010,1141.695,1142.46,1131.32,14.17985829,1.510484973
1/8/2010,1144.98,1145.39,1136.22,14.20410212,1.514860565
1/11/2010,1146.98,1149.74,1142.02,14.21759827,1.517294561
1/12/2010,1136.22,1143.81,1131.77,14.08721174,1.507633175
1/13/2010,1145.68,1148.4,1133.18,14.19346694,1.515855692
1/14/2010,1148.46,1150.41,1143.8,14.21338433,1.517276344
